BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT,
S000030,HON. LORETTA SANCHEZ,2015,2015Q1,PRINTING AND REPRODUCTION,"8,372.70","8,372.70",
S000030,HON. LORETTA SANCHEZ,2015,2015Q1,OTHER SERVICES,"14,796.04","14,796.04",
S000030,HON. LORETTA SANCHEZ,2015,2015Q1,SUPPLIES AND MATERIALS,"2,675.82","2,675.82",
S000030,HON. LORETTA SANCHEZ,2015,2015Q1,EQUIPMENT,"2,521.03","2,521.03",
S000051,HON. MARK SANFORD,2015,2015Q1,FRANKED MAIL,135.78,135.78,
S000051,HON. MARK SANFORD,2015,2015Q1,PERSONNEL COMPENSATION,"170,572.79","170,572.79",
S000051,HON. MARK SANFORD,2015,2015Q1,TRAVEL,"3,354.50","3,354.50",
S000051,HON. MARK SANFORD,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","21,849.60","21,849.60",
S000051,HON. MARK SANFORD,2015,2015Q1,PRINTING AND REPRODUCTION,628.19,628.19,
S000051,HON. MARK SANFORD,2015,2015Q1,OTHER SERVICES,"12,053.24","12,053.24",
S000051,HON. MARK SANFORD,2015,2015Q1,SUPPLIES AND MATERIALS,"2,480.37","2,480.37",
S000051,HON. MARK SANFORD,2015,2015Q1,EQUIPMENT,368.09,368.09,
S001168,HON. JOHN P. SARBANES,2015,2015Q1,FRANKED MAIL,170.67,170.67,
S001168,HON. JOHN P. SARBANES,2015,2015Q1,PERSONNEL COMPENSATION,"224,301.89","224,301.89",
S001168,HON. JOHN P. SARBANES,2015,2015Q1,TRAVEL,"3,640.10","3,640.10",
S001168,HON. JOHN P. SARBANES,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","25,311.53","25,311.53",
S001168,HON. JOHN P. SARBANES,2015,2015Q1,PRINTING AND REPRODUCTION,139.9,139.9,
S001168,HON. JOHN P. SARBANES,2015,2015Q1,OTHER SERVICES,"9,397.13","9,397.13",
S001168,HON. JOHN P. SARBANES,2015,2015Q1,SUPPLIES AND MATERIALS,955.98,955.98,
S001168,HON. JOHN P. SARBANES,2015,2015Q1,EQUIPMENT,480,480,
S001176,HON. STEVE SCALISE,2015,2015Q1,FRANKED MAIL,"14,948.91","14,948.91",
S001176,HON. STEVE SCALISE,2015,2015Q1,PERSONNEL COMPENSATION,"210,788.36","210,788.36",
S001176,HON. STEVE SCALISE,2015,2015Q1,TRAVEL,"8,712.78","8,712.78",
S001176,HON. STEVE SCALISE,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","23,706.16","23,706.16",
S001176,HON. STEVE SCALISE,2015,2015Q1,PRINTING AND REPRODUCTION,"1,201.35","1,201.35",
S001176,HON. STEVE SCALISE,2015,2015Q1,OTHER SERVICES,"8,355.00","8,355.00",
S001176,HON. STEVE SCALISE,2015,2015Q1,SUPPLIES AND MATERIALS,"4,356.78","4,356.78",
S001176,HON. STEVE SCALISE,2015,2015Q1,EQUIPMENT,"1,371.24","1,371.24",
S001145,HON. JANICE D. SCHAKOWSKY,2015,2015Q1,FRANKED MAIL,308.16,308.16,
S001145,HON. JANICE D. SCHAKOWSKY,2015,2015Q1,PERSONNEL COMPENSATION,"259,725.04","259,725.04",
S001145,HON. JANICE D. SCHAKOWSKY,2015,2015Q1,TRAVEL,"2,544.21","2,544.21",
S001145,HON. JANICE D. SCHAKOWSKY,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","17,449.67","17,449.67",
S001145,HON. JANICE D. SCHAKOWSKY,2015,2015Q1,PRINTING AND REPRODUCTION,"1,082.00","1,082.00",
S001145,HON. JANICE D. SCHAKOWSKY,2015,2015Q1,OTHER SERVICES,"20,710.15","20,710.15",
S001145,HON. JANICE D. SCHAKOWSKY,2015,2015Q1,SUPPLIES AND MATERIALS,"1,500.22","1,500.22",
S001145,HON. JANICE D. SCHAKOWSKY,2015,2015Q1,EQUIPMENT,"1,625.40","1,625.40",
S001150,HON. ADAM B. SCHIFF,2015,2015Q1,FRANKED MAIL,555.88,555.88,
S001150,HON. ADAM B. SCHIFF,2015,2015Q1,PERSONNEL COMPENSATION,"250,359.92","250,359.92",
S001150,HON. ADAM B. SCHIFF,2015,2015Q1,TRAVEL,"4,560.86","4,560.86",
S001150,HON. ADAM B. SCHIFF,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","31,362.84","31,362.84",
S001150,HON. ADAM B. SCHIFF,2015,2015Q1,PRINTING AND REPRODUCTION,514.54,514.54,
S001150,HON. ADAM B. SCHIFF,2015,2015Q1,OTHER SERVICES,"8,205.00","8,205.00",
S001150,HON. ADAM B. SCHIFF,2015,2015Q1,SUPPLIES AND MATERIALS,"1,956.19","1,956.19",
S001150,HON. ADAM B. SCHIFF,2015,2015Q1,EQUIPMENT,456,456,
S001179,HON. AARON SCHOCK,2015,2015Q1,FRANKED MAIL,785.23,785.23,
S001179,HON. AARON SCHOCK,2015,2015Q1,PERSONNEL COMPENSATION,"207,716.70","207,716.70",
S001179,HON. AARON SCHOCK,2015,2015Q1,TRAVEL,"9,012.67","9,012.67",
S001179,HON. AARON SCHOCK,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","22,957.56","22,957.56",
S001179,HON. AARON SCHOCK,2015,2015Q1,PRINTING AND REPRODUCTION,465.06,465.06,
S001179,HON. AARON SCHOCK,2015,2015Q1,OTHER SERVICES,"12,657.50","12,657.50",
S001179,HON. AARON SCHOCK,2015,2015Q1,SUPPLIES AND MATERIALS,"3,533.82","3,533.82",
S001179,HON. AARON SCHOCK,2015,2015Q1,EQUIPMENT,"1,948.72","1,948.72",
S001180,HON. KURT SCHRADER,2015,2015Q1,FRANKED MAIL,241.55,241.55,
S001180,HON. KURT SCHRADER,2015,2015Q1,PERSONNEL COMPENSATION,"225,841.66","225,841.66",
S001180,HON. KURT SCHRADER,2015,2015Q1,TRAVEL,"3,856.79","3,856.79",
S001180,HON. KURT SCHRADER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","19,370.76","19,370.76",
S001180,HON. KURT SCHRADER,2015,2015Q1,PRINTING AND REPRODUCTION,637.5,637.5,
S001180,HON. KURT SCHRADER,2015,2015Q1,OTHER SERVICES,"10,524.99","10,524.99",
S001180,HON. KURT SCHRADER,2015,2015Q1,SUPPLIES AND MATERIALS,"3,253.18","3,253.18",
S001180,HON. KURT SCHRADER,2015,2015Q1,EQUIPMENT,564,564,
S001183,HON. DAVID SCHWEIKERT,2015,2015Q1,FRANKED MAIL,767.51,767.51,
S001183,HON. DAVID SCHWEIKERT,2015,2015Q1,PERSONNEL COMPENSATION,"230,358.80","230,358.80",
S001183,HON. DAVID SCHWEIKERT,2015,2015Q1,TRAVEL,"27,352.23","27,352.23",
S001183,HON. DAVID SCHWEIKERT,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","16,260.28","16,260.28",
S001183,HON. DAVID SCHWEIKERT,2015,2015Q1,PRINTING AND REPRODUCTION,536.2,536.2,
S001183,HON. DAVID SCHWEIKERT,2015,2015Q1,OTHER SERVICES,"10,091.22","10,091.22",
S001183,HON. DAVID SCHWEIKERT,2015,2015Q1,SUPPLIES AND MATERIALS,"6,482.91","6,482.91",
S001183,HON. DAVID SCHWEIKERT,2015,2015Q1,EQUIPMENT,"1,140.00","1,140.00",
S001189,HON. AUSTIN SCOTT,2015,2015Q1,FRANKED MAIL,"2,050.00","2,050.00",
S001189,HON. AUSTIN SCOTT,2015,2015Q1,PERSONNEL COMPENSATION,"190,049.60","190,049.60",
S001189,HON. AUSTIN SCOTT,2015,2015Q1,TRAVEL,"9,581.28","9,581.28",
S001189,HON. AUSTIN SCOTT,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","20,684.10","20,684.10",
S001189,HON. AUSTIN SCOTT,2015,2015Q1,PRINTING AND REPRODUCTION,"3,323.00","3,323.00",
S001189,HON. AUSTIN SCOTT,2015,2015Q1,OTHER SERVICES,"9,562.50","9,562.50",
S001189,HON. AUSTIN SCOTT,2015,2015Q1,SUPPLIES AND MATERIALS,"2,565.76","2,565.76",
S001189,HON. AUSTIN SCOTT,2015,2015Q1,EQUIPMENT,726,726,
S001157,HON. DAVID SCOTT,2015,2015Q1,FRANKED MAIL,682.32,682.32,
S001157,HON. DAVID SCOTT,2015,2015Q1,PERSONNEL COMPENSATION,"224,768.33","224,768.33",
S001157,HON. DAVID SCOTT,2015,2015Q1,TRAVEL,"4,523.41","4,523.41",
S001157,HON. DAVID SCOTT,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","27,860.52","27,860.52",
S001157,HON. DAVID SCOTT,2015,2015Q1,PRINTING AND REPRODUCTION,173.58,173.58,
S001157,HON. DAVID SCOTT,2015,2015Q1,OTHER SERVICES,"12,681.22","12,681.22",
S001157,HON. DAVID SCOTT,2015,2015Q1,SUPPLIES AND MATERIALS,"1,114.84","1,114.84",
S001157,HON. DAVID SCOTT,2015,2015Q1,EQUIPMENT,436.2,436.2,
S000185,HON. ROBERT C. BOBBY SCOTT,2015,2015Q1,FRANKED MAIL,295.07,295.07,
S000185,HON. ROBERT C. BOBBY SCOTT,2015,2015Q1,PERSONNEL COMPENSATION,"190,516.99","190,516.99",
S000185,HON. ROBERT C. BOBBY SCOTT,2015,2015Q1,TRAVEL,"3,882.97","3,882.97",
S000185,HON. ROBERT C. BOBBY SCOTT,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","21,955.84","21,955.84",
S000185,HON. ROBERT C. BOBBY SCOTT,2015,2015Q1,OTHER SERVICES,"2,739.51","2,739.51",
S000185,HON. ROBERT C. BOBBY SCOTT,2015,2015Q1,SUPPLIES AND MATERIALS,584.66,584.66,
S000185,HON. ROBERT C. BOBBY SCOTT,2015,2015Q1,EQUIPMENT,411,411,
S000244,HON. F. JAMES SENSENBRENNER,JR.,2015,2015Q1,FRANKED MAIL,"15,345.21","15,345.21"
S000244,HON. F. JAMES SENSENBRENNER,JR.,2015,2015Q1,PERSONNEL COMPENSATION,"193,322.24","193,322.24"
S000244,HON. F. JAMES SENSENBRENNER,JR.,2015,2015Q1,TRAVEL,"4,635.91","4,635.91"
S000244,HON. F. JAMES SENSENBRENNER,JR.,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","9,576.63","9,576.63"
S000244,HON. F. JAMES SENSENBRENNER,JR.,2015,2015Q1,PRINTING AND REPRODUCTION,29.95,29.95
S000244,HON. F. JAMES SENSENBRENNER,JR.,2015,2015Q1,OTHER SERVICES,"11,305.00","11,305.00"
S000244,HON. F. JAMES SENSENBRENNER,JR.,2015,2015Q1,SUPPLIES AND MATERIALS,"1,880.16","1,880.16"
S000244,HON. F. JAMES SENSENBRENNER,JR.,2015,2015Q1,EQUIPMENT,"1,704.24","1,704.24"
S000248,HON. JOSE E. SERRANO,2015,2015Q1,FRANKED MAIL,646.38,646.38,
S000248,HON. JOSE E. SERRANO,2015,2015Q1,PERSONNEL COMPENSATION,"200,258.27","200,258.27",
S000248,HON. JOSE E. SERRANO,2015,2015Q1,TRAVEL,"3,696.00","3,696.00",
S000248,HON. JOSE E. SERRANO,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","35,993.47","35,993.47",
S000248,HON. JOSE E. SERRANO,2015,2015Q1,PRINTING AND REPRODUCTION,"1,269.57","1,269.57",
S000248,HON. JOSE E. SERRANO,2015,2015Q1,OTHER SERVICES,"5,997.00","5,997.00",
S000248,HON. JOSE E. SERRANO,2015,2015Q1,SUPPLIES AND MATERIALS,"4,619.30","4,619.30",
S000248,HON. JOSE E. SERRANO,2015,2015Q1,EQUIPMENT,645,645,
S000250,HON. PETE SESSIONS,2015,2015Q1,FRANKED MAIL,"1,517.42","1,517.42",
S000250,HON. PETE SESSIONS,2015,2015Q1,PERSONNEL COMPENSATION,"221,097.23","221,097.23",
S000250,HON. PETE SESSIONS,2015,2015Q1,TRAVEL,"13,947.35","13,947.35",
S000250,HON. PETE SESSIONS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","5,585.91","5,585.91",
S000250,HON. PETE SESSIONS,2015,2015Q1,PRINTING AND REPRODUCTION,654.57,654.57,
S000250,HON. PETE SESSIONS,2015,2015Q1,OTHER SERVICES,"11,402.36","11,402.36",
S000250,HON. PETE SESSIONS,2015,2015Q1,SUPPLIES AND MATERIALS,"5,510.04","5,510.04",
S000250,HON. PETE SESSIONS,2015,2015Q1,EQUIPMENT,720,720,
S001185,HON. TERRI A. SEWELL,2015,2015Q1,FRANKED MAIL,30.91,30.91,
S001185,HON. TERRI A. SEWELL,2015,2015Q1,PERSONNEL COMPENSATION,"213,477.49","213,477.49",
S001185,HON. TERRI A. SEWELL,2015,2015Q1,TRAVEL,"21,402.84","21,402.84",
S001185,HON. TERRI A. SEWELL,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","23,906.91","23,906.91",
S001185,HON. TERRI A. SEWELL,2015,2015Q1,PRINTING AND REPRODUCTION,"17,713.65","17,713.65",
S001185,HON. TERRI A. SEWELL,2015,2015Q1,OTHER SERVICES,"11,063.38","11,063.38",
S001185,HON. TERRI A. SEWELL,2015,2015Q1,SUPPLIES AND MATERIALS,"4,443.53","4,443.53",
S001185,HON. TERRI A. SEWELL,2015,2015Q1,EQUIPMENT,864,864,
S000344,HON. BRAD SHERMAN,2015,2015Q1,FRANKED MAIL,142.81,142.81,
S000344,HON. BRAD SHERMAN,2015,2015Q1,PERSONNEL COMPENSATION,"218,866.06","218,866.06",
S000344,HON. BRAD SHERMAN,2015,2015Q1,TRAVEL,"2,633.19","2,633.19",
S000344,HON. BRAD SHERMAN,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","30,830.50","30,830.50",
S000344,HON. BRAD SHERMAN,2015,2015Q1,PRINTING AND REPRODUCTION,"2,929.43","2,929.43",
S000344,HON. BRAD SHERMAN,2015,2015Q1,OTHER SERVICES,"6,585.00","6,585.00",
S000344,HON. BRAD SHERMAN,2015,2015Q1,SUPPLIES AND MATERIALS,"1,492.18","1,492.18",
S000344,HON. BRAD SHERMAN,2015,2015Q1,EQUIPMENT,862.23,862.23,
S000364,HON. JOHN SHIMKUS,2015,2015Q1,FRANKED MAIL,361.43,361.43,
S000364,HON. JOHN SHIMKUS,2015,2015Q1,PERSONNEL COMPENSATION,"242,326.70","242,326.70",
S000364,HON. JOHN SHIMKUS,2015,2015Q1,TRAVEL,"4,692.47","4,692.47",
S000364,HON. JOHN SHIMKUS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","14,109.18","14,109.18",
S000364,HON. JOHN SHIMKUS,2015,2015Q1,PRINTING AND REPRODUCTION,753.25,753.25,
S000364,HON. JOHN SHIMKUS,2015,2015Q1,OTHER SERVICES,"12,080.11","12,080.11",
S000364,HON. JOHN SHIMKUS,2015,2015Q1,SUPPLIES AND MATERIALS,"4,667.55","4,667.55",
S000364,HON. JOHN SHIMKUS,2015,2015Q1,EQUIPMENT,527.4,527.4,
S001154,HON. BILL SHUSTER,2015,2015Q1,FRANKED MAIL,"2,016.37","2,016.37",
S001154,HON. BILL SHUSTER,2015,2015Q1,PERSONNEL COMPENSATION,"210,375.83","210,375.83",
S001154,HON. BILL SHUSTER,2015,2015Q1,TRAVEL,"2,447.01","2,447.01",
S001154,HON. BILL SHUSTER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","21,223.72","21,223.72",
S001154,HON. BILL SHUSTER,2015,2015Q1,PRINTING AND REPRODUCTION,586.27,586.27,
S001154,HON. BILL SHUSTER,2015,2015Q1,OTHER SERVICES,"8,219.60","8,219.60",
S001154,HON. BILL SHUSTER,2015,2015Q1,SUPPLIES AND MATERIALS,"4,305.48","4,305.48",
S001154,HON. BILL SHUSTER,2015,2015Q1,EQUIPMENT,657.22,657.22,
S001148,HON. MICHAEL K. SIMPSON,2015,2015Q1,FRANKED MAIL,676.96,676.96,
S001148,HON. MICHAEL K. SIMPSON,2015,2015Q1,PERSONNEL COMPENSATION,"254,364.70","254,364.70",
S001148,HON. MICHAEL K. SIMPSON,2015,2015Q1,TRAVEL,"8,133.34","8,133.34",
S001148,HON. MICHAEL K. SIMPSON,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","25,167.08","25,167.08",
S001148,HON. MICHAEL K. SIMPSON,2015,2015Q1,PRINTING AND REPRODUCTION,292.19,292.19,
S001148,HON. MICHAEL K. SIMPSON,2015,2015Q1,OTHER SERVICES,"7,205.00","7,205.00",
S001148,HON. MICHAEL K. SIMPSON,2015,2015Q1,SUPPLIES AND MATERIALS,"2,961.19","2,961.19",
S001148,HON. MICHAEL K. SIMPSON,2015,2015Q1,EQUIPMENT,707.5,707.5,
S001191,HON. KYRSTEN SINEMA,2015,2015Q1,FRANKED MAIL,264.69,264.69,
S001191,HON. KYRSTEN SINEMA,2015,2015Q1,PERSONNEL COMPENSATION,"202,509.73","202,509.73",
S001191,HON. KYRSTEN SINEMA,2015,2015Q1,TRAVEL,"7,243.96","7,243.96",
S001191,HON. KYRSTEN SINEMA,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","18,965.76","18,965.76",
S001191,HON. KYRSTEN SINEMA,2015,2015Q1,PRINTING AND REPRODUCTION,"3,057.62","3,057.62",
S001191,HON. KYRSTEN SINEMA,2015,2015Q1,OTHER SERVICES,"8,555.00","8,555.00",
S001191,HON. KYRSTEN SINEMA,2015,2015Q1,SUPPLIES AND MATERIALS,"2,394.04","2,394.04",
S001191,HON. KYRSTEN SINEMA,2015,2015Q1,EQUIPMENT,706.32,706.32,
S001165,HON. ALBIO SIRES,2015,2015Q1,FRANKED MAIL,86.76,86.76,
S001165,HON. ALBIO SIRES,2015,2015Q1,PERSONNEL COMPENSATION,"228,745.31","228,745.31",
S001165,HON. ALBIO SIRES,2015,2015Q1,TRAVEL,"5,986.41","5,986.41",
S001165,HON. ALBIO SIRES,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","21,236.08","21,236.08",
S001165,HON. ALBIO SIRES,2015,2015Q1,PRINTING AND REPRODUCTION,254.7,254.7,
S001165,HON. ALBIO SIRES,2015,2015Q1,OTHER SERVICES,"11,575.00","11,575.00",
S001165,HON. ALBIO SIRES,2015,2015Q1,SUPPLIES AND MATERIALS,"1,398.76","1,398.76",
S001165,HON. ALBIO SIRES,2015,2015Q1,EQUIPMENT,"1,452.48","1,452.48",
S000480,HON. LOUISE SLAUGHTER,2015,2015Q1,FRANKED MAIL,"1,466.07","1,466.07",
S000480,HON. LOUISE SLAUGHTER,2015,2015Q1,PERSONNEL COMPENSATION,"230,731.13","230,731.13",
S000480,HON. LOUISE SLAUGHTER,2015,2015Q1,TRAVEL,"6,248.42","6,248.42",
S000480,HON. LOUISE SLAUGHTER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","22,474.79","22,474.79",
S000480,HON. LOUISE SLAUGHTER,2015,2015Q1,PRINTING AND REPRODUCTION,52.9,52.9,
S000480,HON. LOUISE SLAUGHTER,2015,2015Q1,OTHER SERVICES,"17,617.96","17,617.96",
S000480,HON. LOUISE SLAUGHTER,2015,2015Q1,SUPPLIES AND MATERIALS,"4,172.33","4,172.33",
S000480,HON. LOUISE SLAUGHTER,2015,2015Q1,EQUIPMENT,600,600,
S000510,HON. ADAM SMITH,2015,2015Q1,FRANKED MAIL,405.13,405.13,
S000510,HON. ADAM SMITH,2015,2015Q1,PERSONNEL COMPENSATION,"231,812.45","231,812.45",
S000510,HON. ADAM SMITH,2015,2015Q1,TRAVEL,"6,025.81","6,025.81",
S000510,HON. ADAM SMITH,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","15,782.58","15,782.58",
S000510,HON. ADAM SMITH,2015,2015Q1,PRINTING AND REPRODUCTION,693.57,693.57,
S000510,HON. ADAM SMITH,2015,2015Q1,OTHER SERVICES,"9,303.00","9,303.00",
S000510,HON. ADAM SMITH,2015,2015Q1,SUPPLIES AND MATERIALS,903.48,903.48,
S000510,HON. ADAM SMITH,2015,2015Q1,EQUIPMENT,"1,176.00","1,176.00",
S001172,HON. ADRIAN SMITH,2015,2015Q1,FRANKED MAIL,"3,970.09","3,970.09",
S001172,HON. ADRIAN SMITH,2015,2015Q1,PERSONNEL COMPENSATION,"207,944.58","207,944.58",
S001172,HON. ADRIAN SMITH,2015,2015Q1,TRAVEL,"14,671.46","14,671.46",
S001172,HON. ADRIAN SMITH,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","14,996.72","14,996.72",
S001172,HON. ADRIAN SMITH,2015,2015Q1,PRINTING AND REPRODUCTION,482.8,482.8,
S001172,HON. ADRIAN SMITH,2015,2015Q1,OTHER SERVICES,"16,655.00","16,655.00",
S001172,HON. ADRIAN SMITH,2015,2015Q1,SUPPLIES AND MATERIALS,"4,514.19","4,514.19",
S001172,HON. ADRIAN SMITH,2015,2015Q1,EQUIPMENT,607.5,607.5,
S000522,HON. CHRISTOPHER H. SMITH,2015,2015Q1,FRANKED MAIL,"1,326.88","1,326.88",
S000522,HON. CHRISTOPHER H. SMITH,2015,2015Q1,PERSONNEL COMPENSATION,"214,748.16","214,748.16",
S000522,HON. CHRISTOPHER H. SMITH,2015,2015Q1,TRAVEL,"2,114.45","2,114.45",
S000522,HON. CHRISTOPHER H. SMITH,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","8,631.85","8,631.85",
S000522,HON. CHRISTOPHER H. SMITH,2015,2015Q1,PRINTING AND REPRODUCTION,314.19,314.19,
S000522,HON. CHRISTOPHER H. SMITH,2015,2015Q1,OTHER SERVICES,"10,909.70","10,909.70",
S000522,HON. CHRISTOPHER H. SMITH,2015,2015Q1,SUPPLIES AND MATERIALS,"4,968.81","4,968.81",
S000522,HON. CHRISTOPHER H. SMITH,2015,2015Q1,EQUIPMENT,846,846,
S001195,HON. JASON SMITH,2015,2015Q1,FRANKED MAIL,787.31,787.31,
S001195,HON. JASON SMITH,2015,2015Q1,PERSONNEL COMPENSATION,"224,547.77","224,547.77",
S001195,HON. JASON SMITH,2015,2015Q1,TRAVEL,"9,597.97","9,597.97",
S001195,HON. JASON SMITH,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","24,435.60","24,435.60",
S001195,HON. JASON SMITH,2015,2015Q1,PRINTING AND REPRODUCTION,94.26,94.26,
S001195,HON. JASON SMITH,2015,2015Q1,OTHER SERVICES,"11,405.00","11,405.00",
S001195,HON. JASON SMITH,2015,2015Q1,SUPPLIES AND MATERIALS,"2,437.80","2,437.80",
S001195,HON. JASON SMITH,2015,2015Q1,EQUIPMENT,495.99,495.99,
S000583,HON. LAMAR SMITH,2015,2015Q1,FRANKED MAIL,"2,500.49","2,500.49",
S000583,HON. LAMAR SMITH,2015,2015Q1,PERSONNEL COMPENSATION,"204,422.53","204,422.53",
S000583,HON. LAMAR SMITH,2015,2015Q1,TRAVEL,"6,634.73","6,634.73",
S000583,HON. LAMAR SMITH,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","23,775.85","23,775.85",
S000583,HON. LAMAR SMITH,2015,2015Q1,PRINTING AND REPRODUCTION,533.68,533.68,
S000583,HON. LAMAR SMITH,2015,2015Q1,OTHER SERVICES,"11,964.45","11,964.45",
S000583,HON. LAMAR SMITH,2015,2015Q1,SUPPLIES AND MATERIALS,"4,048.40","4,048.40",
S000583,HON. LAMAR SMITH,2015,2015Q1,EQUIPMENT,725.9,725.9,
S001175,HON. JACKIE SPEIER,2015,2015Q1,FRANKED MAIL,122.17,122.17,
S001175,HON. JACKIE SPEIER,2015,2015Q1,PERSONNEL COMPENSATION,"243,172.25","243,172.25",
S001175,HON. JACKIE SPEIER,2015,2015Q1,TRAVEL,"6,725.03","6,725.03",
S001175,HON. JACKIE SPEIER,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","26,732.82","26,732.82",
S001175,HON. JACKIE SPEIER,2015,2015Q1,PRINTING AND REPRODUCTION,143.7,143.7,
S001175,HON. JACKIE SPEIER,2015,2015Q1,OTHER SERVICES,"6,005.00","6,005.00",
S001175,HON. JACKIE SPEIER,2015,2015Q1,SUPPLIES AND MATERIALS,"5,014.48","5,014.48",
S001175,HON. JACKIE SPEIER,2015,2015Q1,EQUIPMENT,"1,552.74","1,552.74",
S001196,HON. ELISE M. STEFANIK,2015,2015Q1,FRANKED MAIL,244.35,244.35,
S001196,HON. ELISE M. STEFANIK,2015,2015Q1,PERSONNEL COMPENSATION,"163,055.60","163,055.60",
S001196,HON. ELISE M. STEFANIK,2015,2015Q1,TRAVEL,"8,178.29","8,178.29",
S001196,HON. ELISE M. STEFANIK,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","16,588.24","16,588.24",
S001196,HON. ELISE M. STEFANIK,2015,2015Q1,PRINTING AND REPRODUCTION,"1,889.15","1,889.15",
S001196,HON. ELISE M. STEFANIK,2015,2015Q1,OTHER SERVICES,"21,575.00","21,575.00",
S001196,HON. ELISE M. STEFANIK,2015,2015Q1,SUPPLIES AND MATERIALS,"6,110.54","6,110.54",
S001196,HON. ELISE M. STEFANIK,2015,2015Q1,EQUIPMENT,999.75,999.75,
S001192,HON. CHRIS STEWART,2015,2015Q1,FRANKED MAIL,"2,455.40","2,455.40",
S001192,HON. CHRIS STEWART,2015,2015Q1,PERSONNEL COMPENSATION,"206,483.26","206,483.26",
S001192,HON. CHRIS STEWART,2015,2015Q1,TRAVEL,"14,677.65","14,677.65",
S001192,HON. CHRIS STEWART,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","7,185.31","7,185.31",
S001192,HON. CHRIS STEWART,2015,2015Q1,PRINTING AND REPRODUCTION,418.14,418.14,
S001192,HON. CHRIS STEWART,2015,2015Q1,OTHER SERVICES,"8,988.40","8,988.40",
S001192,HON. CHRIS STEWART,2015,2015Q1,SUPPLIES AND MATERIALS,"4,878.11","4,878.11",
S001192,HON. CHRIS STEWART,2015,2015Q1,EQUIPMENT,326.42,326.42,
S001187,HON. STEVE STIVERS,2015,2015Q1,FRANKED MAIL,225.25,225.25,
S001187,HON. STEVE STIVERS,2015,2015Q1,PERSONNEL COMPENSATION,"190,282.00","190,282.00",
S001187,HON. STEVE STIVERS,2015,2015Q1,TRAVEL,"12,340.77","12,340.77",
S001187,HON. STEVE STIVERS,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","14,705.06","14,705.06",
S001187,HON. STEVE STIVERS,2015,2015Q1,PRINTING AND REPRODUCTION,119.8,119.8,
S001187,HON. STEVE STIVERS,2015,2015Q1,OTHER SERVICES,"10,095.85","10,095.85",
S001187,HON. STEVE STIVERS,2015,2015Q1,SUPPLIES AND MATERIALS,"1,484.90","1,484.90",
S001187,HON. STEVE STIVERS,2015,2015Q1,EQUIPMENT,"2,130.66","2,130.66",
S001188,HON. MARLIN A. STUTZMAN,2015,2015Q1,FRANKED MAIL,"21,542.07","21,542.07",
S001188,HON. MARLIN A. STUTZMAN,2015,2015Q1,PERSONNEL COMPENSATION,"198,366.69","198,366.69",
S001188,HON. MARLIN A. STUTZMAN,2015,2015Q1,TRAVEL,"2,376.44","2,376.44",
S001188,HON. MARLIN A. STUTZMAN,2015,2015Q1,"RENT, COMMUNICATION, UTILITIES","13,597.90","13,597.90",
S001188,HON. MARLIN A. STUTZMAN,2015,2015Q1,PRINTING AND REPRODUCTION,425.98,425.98,
S001188,HON. MARLIN A. STUTZMAN,2015,2015Q1,OTHER SERVICES,"13,271.04","13,271.04",
S001188,HON. MARLIN A. STUTZMAN,2015,2015Q1,SUPPLIES AND MATERIALS,"5,594.65","5,594.65",
S001188,HON. MARLIN A. STUTZMAN,2015,2015Q1,EQUIPMENT,755.25,755.25,
S001193,HON. ERIC SWALWELL,2015,2015Q1,FRANKED MAIL,"11,862.49","11,862.49",
S001193,HON. ERIC SWALWELL,2015,2015Q1,PERSONNEL COMPENSATION,"198,721.09","198,721.09",
