BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,CATEGORY,YTD,AMOUNT
R000515,2017 HON. BOBBY L. RUSH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,734095.02,248343.2
R000515,2017 HON. BOBBY L. RUSH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51845.38,16544.44
R000515,2017 HON. BOBBY L. RUSH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,88876.47,30274.3
R000515,2017 HON. BOBBY L. RUSH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2360.24,2003.6
R000515,2017 HON. BOBBY L. RUSH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,44454.19,12086.08
R000515,2017 HON. BOBBY L. RUSH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,15249.63,5113.02
R000515,2017 HON. BOBBY L. RUSH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3417.03,1139.01
R000515,2017 HON. BOBBY L. RUSH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,940630.34,315660.61
R000515,2017 HON. BOBBY L. RUSH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,940630.34,315660.61
R000604,2017 HON. STEVE RUSSELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,499.75,234.92
R000604,2017 HON. STEVE RUSSELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,701439.5,227252.81
R000604,2017 HON. STEVE RUSSELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19666.48,7477.46
R000604,2017 HON. STEVE RUSSELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,43066.61,14473.85
R000604,2017 HON. STEVE RUSSELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1067.54,248.69
R000604,2017 HON. STEVE RUSSELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19500,7200
R000604,2017 HON. STEVE RUSSELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3041.71,2151.71
R000604,2017 HON. STEVE RUSSELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1634.09,227.25
R000604,2017 HON. STEVE RUSSELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,789915.68,259266.69
R000604,2017 HON. STEVE RUSSELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,789915.68,259266.69
R000609,2017 HON. JOHN H. RUTHERFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4213.2,1376.28
R000609,2017 HON. JOHN H. RUTHERFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,576758.42,211000.05
R000609,2017 HON. JOHN H. RUTHERFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17296.87,6533.92
R000609,2017 HON. JOHN H. RUTHERFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,27565.76,9949.81
R000609,2017 HON. JOHN H. RUTHERFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3246.47,1589.52
R000609,2017 HON. JOHN H. RUTHERFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31775.96,10485
R000609,2017 HON. JOHN H. RUTHERFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12619.92,8297.99
R000609,2017 HON. JOHN H. RUTHERFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13489.18,770.94
R000609,2017 HON. JOHN H. RUTHERFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,686965.78,250003.51
R000609,2017 HON. JOHN H. RUTHERFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,686965.78,250003.51
R000570,2017 HON. PAUL D. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4290.63,1492.45
R000570,2017 HON. PAUL D. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,712575.68,241320.43
R000570,2017 HON. PAUL D. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27892.48,9973.6
R000570,2017 HON. PAUL D. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,67726.11,24378.3
R000570,2017 HON. PAUL D. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,843.99,139.85
R000570,2017 HON. PAUL D. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26577.35,8250
R000570,2017 HON. PAUL D. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3716.49,888.18
R000570,2017 HON. PAUL D. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1890,630
R000570,2017 HON. PAUL D. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,845512.73,287072.81
R000570,2017 HON. PAUL D. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,845512.73,287072.81
R000577,2017 HON. TIMOTHY J. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1573.55,565.86
R000577,2017 HON. TIMOTHY J. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,695061.19,272599.39
R000577,2017 HON. TIMOTHY J. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14572.84,5725.29
R000577,2017 HON. TIMOTHY J. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,51130.83,17567.2
R000577,2017 HON. TIMOTHY J. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1558.83,705.49
R000577,2017 HON. TIMOTHY J. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33919.61,12605
R000577,2017 HON. TIMOTHY J. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16077.94,2552.38
R000577,2017 HON. TIMOTHY J. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5406.21,4162.89
R000577,2017 HON. TIMOTHY J. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,819301,316483.5
R000577,2017 HON. TIMOTHY J. RYAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,819301,316483.5
S001177,2017 HON. GREGORIO SABLAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,5007.92,2158.34
S001177,2017 HON. GREGORIO SABLAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,659096.47,258967.37
S001177,2017 HON. GREGORIO SABLAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,86467.57,50496.01
S001177,2017 HON. GREGORIO SABLAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,74619.72,26164.98
S001177,2017 HON. GREGORIO SABLAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5867.57,664.04
S001177,2017 HON. GREGORIO SABLAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20349,7981
S001177,2017 HON. GREGORIO SABLAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,23725.09,8150.48
S001177,2017 HON. GREGORIO SABLAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4479.74,588
S001177,2017 HON. GREGORIO SABLAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,879613.08,355170.22
S001177,2017 HON. GREGORIO SABLAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,879613.08,355170.22
S000030,2017 HON. LINDA T. SANCHEZ,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,15982.96,14730.21
S000030,2017 HON. LINDA T. SANCHEZ,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,586995.37,154280.53
S000030,2017 HON. LINDA T. SANCHEZ,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,42282.02,20249.38
S000030,2017 HON. LINDA T. SANCHEZ,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,78167.88,27461.35
S000030,2017 HON. LINDA T. SANCHEZ,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,11259.26,8397.79
S000030,2017 HON. LINDA T. SANCHEZ,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,24225,7680
S000030,2017 HON. LINDA T. SANCHEZ,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13478.59,1712.36
S000030,2017 HON. LINDA T. SANCHEZ,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13420.22,5376.74
S000030,2017 HON. LINDA T. SANCHEZ,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,785811.3,239888.36
S000030,2017 HON. LINDA T. SANCHEZ,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,785811.3,239888.36
S000051,2017 HON. MARK SANFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,841.76,492.89
S000051,2017 HON. MARK SANFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,660036.68,217415.26
S000051,2017 HON. MARK SANFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,25676.65,7249.51
S000051,2017 HON. MARK SANFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,79149.49,27635.71
S000051,2017 HON. MARK SANFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,10020.4,4820.77
S000051,2017 HON. MARK SANFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37013.2,13807.2
S000051,2017 HON. MARK SANFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13830.77,7160.17
S000051,2017 HON. MARK SANFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4309.4,2245.93
S000051,2017 HON. MARK SANFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,830878.35,280827.44
S000051,2017 HON. MARK SANFORD,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,830878.35,280827.44
S001168,2017 HON. JOHN P. SARBANES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,937.88,410.04
S001168,2017 HON. JOHN P. SARBANES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,719069.2,245077.77
S001168,2017 HON. JOHN P. SARBANES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,16218.04,7745.78
S001168,2017 HON. JOHN P. SARBANES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,94621.93,34400.7
S001168,2017 HON. JOHN P. SARBANES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2829.5,1034.64
S001168,2017 HON. JOHN P. SARBANES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,18426.72,6638.3
S001168,2017 HON. JOHN P. SARBANES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4573.86,-114.74
S001168,2017 HON. JOHN P. SARBANES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1883.89,480
S001168,2017 HON. JOHN P. SARBANES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,858561.02,295672.49
S001168,2017 HON. JOHN P. SARBANES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,858561.02,295672.49
S001176,2017 HON. STEVE SCALISE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,21267.49,8943.74
S001176,2017 HON. STEVE SCALISE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,615146.57,216890.89
S001176,2017 HON. STEVE SCALISE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27718.88,14262.79
S001176,2017 HON. STEVE SCALISE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,87550.71,25521.26
S001176,2017 HON. STEVE SCALISE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13368.61,1575.67
S001176,2017 HON. STEVE SCALISE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,47665,12155
S001176,2017 HON. STEVE SCALISE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14813.84,6118.22
S001176,2017 HON. STEVE SCALISE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10470.21,442.56
S001176,2017 HON. STEVE SCALISE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,838001.31,285910.13
S001176,2017 HON. STEVE SCALISE,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,838001.31,285910.13
S001145,2017 HON. JANICE D. SCHAKOWSKY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,868.92,342.31
S001145,2017 HON. JANICE D. SCHAKOWSKY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,818444.56,274225.04
S001145,2017 HON. JANICE D. SCHAKOWSKY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,13568.1,3704.11
S001145,2017 HON. JANICE D. SCHAKOWSKY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,58169.93,20832.43
S001145,2017 HON. JANICE D. SCHAKOWSKY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1998.9,232.5
S001145,2017 HON. JANICE D. SCHAKOWSKY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,45784.93,12433.35
S001145,2017 HON. JANICE D. SCHAKOWSKY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8720.65,1517.76
S001145,2017 HON. JANICE D. SCHAKOWSKY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5026.2,1625.4
S001145,2017 HON. JANICE D. SCHAKOWSKY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,952582.19,314912.9
S001145,2017 HON. JANICE D. SCHAKOWSKY,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,952582.19,314912.9
S001150,2017 HON. ADAM B. SCHIFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1342.75,395.41
S001150,2017 HON. ADAM B. SCHIFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,777175.3,264960
S001150,2017 HON. ADAM B. SCHIFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,21728.3,6570
S001150,2017 HON. ADAM B. SCHIFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,105164.32,36509.41
S001150,2017 HON. ADAM B. SCHIFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8467.29,7158.71
S001150,2017 HON. ADAM B. SCHIFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31162.78,10598.75
S001150,2017 HON. ADAM B. SCHIFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12732.58,2126.7
S001150,2017 HON. ADAM B. SCHIFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1368,456
S001150,2017 HON. ADAM B. SCHIFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,959141.32,328774.98
S001150,2017 HON. ADAM B. SCHIFF,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,959141.32,328774.98
S001190,2017 HON. BRADLEY S. SCHNEIDER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,16160.09,3642.12
S001190,2017 HON. BRADLEY S. SCHNEIDER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,626062.39,218584.83
S001190,2017 HON. BRADLEY S. SCHNEIDER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29565.7,17559.08
S001190,2017 HON. BRADLEY S. SCHNEIDER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,88834.12,31164.42
S001190,2017 HON. BRADLEY S. SCHNEIDER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,31887.03,24103.44
S001190,2017 HON. BRADLEY S. SCHNEIDER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17078.63,5738
S001190,2017 HON. BRADLEY S. SCHNEIDER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,22109.84,2816.94
S001190,2017 HON. BRADLEY S. SCHNEIDER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1823.4,607.8
S001190,2017 HON. BRADLEY S. SCHNEIDER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,833521.2,304216.63
S001190,2017 HON. BRADLEY S. SCHNEIDER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,833521.2,304216.63
S001180,2017 HON. KURT SCHRADER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2099.83,1034.42
S001180,2017 HON. KURT SCHRADER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,745959.41,268500.07
S001180,2017 HON. KURT SCHRADER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,27500.52,15518.88
S001180,2017 HON. KURT SCHRADER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,69125.57,24143.05
S001180,2017 HON. KURT SCHRADER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1789.62,526.93
S001180,2017 HON. KURT SCHRADER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32578,10975
S001180,2017 HON. KURT SCHRADER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4425.3,1323.9
S001180,2017 HON. KURT SCHRADER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1688,560
S001180,2017 HON. KURT SCHRADER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,885166.25,322582.25
S001180,2017 HON. KURT SCHRADER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,885166.25,322582.25
S001183,2017 HON. DAVID SCHWEIKERT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1009.66,369.74
S001183,2017 HON. DAVID SCHWEIKERT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,631317.16,210890.54
S001183,2017 HON. DAVID SCHWEIKERT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,58822.7,19491.57
S001183,2017 HON. DAVID SCHWEIKERT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,66276.8,20931.38
S001183,2017 HON. DAVID SCHWEIKERT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3530.33,1634.07
S001183,2017 HON. DAVID SCHWEIKERT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,45467.42,23809.29
S001183,2017 HON. DAVID SCHWEIKERT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,25287.01,6654.42
S001183,2017 HON. DAVID SCHWEIKERT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13206.11,2119.79
S001183,2017 HON. DAVID SCHWEIKERT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,844917.19,285900.8
S001183,2017 HON. DAVID SCHWEIKERT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,844917.19,285900.8
S001189,2017 HON. AUSTIN SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3641.12,2039.47
S001189,2017 HON. AUSTIN SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,639849.3,236522.33
S001189,2017 HON. AUSTIN SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32606.29,13671.85
S001189,2017 HON. AUSTIN SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,51903.37,17197.6
S001189,2017 HON. AUSTIN SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5809.43,5281.73
S001189,2017 HON. AUSTIN SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34483,6850
S001189,2017 HON. AUSTIN SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5930.9,1350.37
S001189,2017 HON. AUSTIN SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3114,1038
S001189,2017 HON. AUSTIN SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,777337.41,283951.35
S001189,2017 HON. AUSTIN SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,777337.41,283951.35
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,7726.5,7319.86
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,718596.2,245069.24
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19663.83,7594.33
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,12.95,0
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,102427.36,29058.13
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,16774.61,8618.9
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,46710.67,18382.93
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7174.86,2704.22
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1347.78,354.96
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,920434.76,319102.57
S001157,2017 HON. DAVID SCOTT,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,920434.76,319102.57
S000185,"2017 HON. ROBERT C. ""BOBBY"" SCOTT",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1640.1,1024.8
S000185,"2017 HON. ROBERT C. ""BOBBY"" SCOTT",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,726367.76,248058.37
S000185,"2017 HON. ROBERT C. ""BOBBY"" SCOTT",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10926.07,4257.5
S000185,"2017 HON. ROBERT C. ""BOBBY"" SCOTT",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,69026.5,23315.52
S000185,"2017 HON. ROBERT C. ""BOBBY"" SCOTT",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,823.18,387.5
S000185,"2017 HON. ROBERT C. ""BOBBY"" SCOTT",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33030.08,9512.08
S000185,"2017 HON. ROBERT C. ""BOBBY"" SCOTT",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8950.72,1772.18
S000185,"2017 HON. ROBERT C. ""BOBBY"" SCOTT",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,802.81,135
S000185,"2017 HON. ROBERT C. ""BOBBY"" SCOTT",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,851567.22,288462.95
S000185,"2017 HON. ROBERT C. ""BOBBY"" SCOTT",2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,851567.22,288462.95
S000244,2017 HON. F. JAMES SENSENBRENNER  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,60248.98,20721.52
S000244,2017 HON. F. JAMES SENSENBRENNER  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,660592.28,231853.68
S000244,2017 HON. F. JAMES SENSENBRENNER  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26784.92,8307.53
